signal,entry,exit,side,net_r,reason,carry_days
2025-01-15 13:00:00+00:00,2025-01-15 13:15:00+00:00,2025-01-15 14:35:00+00:00,1,-1.0250344653748151,SL,0
2025-01-15 17:00:00+00:00,2025-01-15 17:15:00+00:00,2025-01-16 13:50:00+00:00,1,2.958100075486006,TP,1
2025-01-16 13:45:00+00:00,2025-01-16 14:00:00+00:00,2025-01-17 09:20:00+00:00,1,-1.0550614735402584,SL,1
2025-01-17 14:45:00+00:00,2025-01-17 15:00:00+00:00,2025-01-17 19:00:00+00:00,1,-1.0171457375793864,SL,0
2025-01-20 14:00:00+00:00,2025-01-20 14:15:00+00:00,2025-01-20 16:20:00+00:00,1,-1.016575482147232,SL,0
2025-01-20 18:30:00+00:00,2025-01-20 18:45:00+00:00,2025-01-21 00:50:00+00:00,1,-1.0576909598893207,SL,1
2025-01-21 13:00:00+00:00,2025-01-21 13:15:00+00:00,2025-01-22 00:45:00+00:00,1,2.9390028385533737,TP,1
2025-01-22 12:45:00+00:00,2025-01-22 13:00:00+00:00,2025-01-22 13:30:00+00:00,1,-1.0194386160487559,SL,0
2025-01-22 15:45:00+00:00,2025-01-22 16:00:00+00:00,2025-01-23 01:45:00+00:00,1,-1.0531920810057314,SL,1
2025-01-23 16:15:00+00:00,2025-01-23 16:30:00+00:00,2025-01-24 06:10:00+00:00,1,2.958098731302883,TP,1
2025-01-24 12:15:00+00:00,2025-01-24 12:30:00+00:00,2025-01-24 16:45:00+00:00,1,-1.021864379281242,SL,0
2025-01-27 11:45:00+00:00,2025-01-27 12:00:00+00:00,2025-01-27 12:15:00+00:00,1,-1.0170661459880588,SL,0
2025-01-30 12:00:00+00:00,2025-01-30 12:15:00+00:00,2025-01-30 15:45:00+00:00,1,2.984559737664593,TP,0
2025-01-30 15:45:00+00:00,2025-01-30 16:00:00+00:00,2025-01-30 17:00:00+00:00,1,-1.016290112311918,SL,0
2025-01-30 17:30:00+00:00,2025-01-30 17:45:00+00:00,2025-01-31 18:40:00+00:00,1,0.9097694282112737,TIME,1
2025-02-03 12:30:00+00:00,2025-02-03 12:45:00+00:00,2025-02-04 13:20:00+00:00,1,2.9513181616588775,TP,1
2025-02-04 13:15:00+00:00,2025-02-04 13:30:00+00:00,2025-02-05 05:40:00+00:00,1,2.9519919637883314,TP,1
2025-02-05 12:45:00+00:00,2025-02-05 13:00:00+00:00,2025-02-05 13:30:00+00:00,1,-1.0179475362944967,SL,0
2025-02-05 15:00:00+00:00,2025-02-05 15:15:00+00:00,2025-02-05 16:15:00+00:00,1,-1.0140597246404819,SL,0
2025-02-06 12:00:00+00:00,2025-02-06 12:15:00+00:00,2025-02-06 13:10:00+00:00,1,-1.015364814991415,SL,0
2025-02-07 11:45:00+00:00,2025-02-07 12:00:00+00:00,2025-02-07 13:05:00+00:00,1,-1.022663721718946,SL,0
2025-02-07 15:15:00+00:00,2025-02-07 15:30:00+00:00,2025-02-07 16:00:00+00:00,1,-1.0117715824362283,SL,0
2025-02-10 12:00:00+00:00,2025-02-10 12:15:00+00:00,2025-02-10 13:40:00+00:00,1,-1.0175656505726856,SL,0
2025-02-10 14:15:00+00:00,2025-02-10 14:30:00+00:00,2025-02-10 17:30:00+00:00,1,-1.0144590212509417,SL,0
2025-02-10 20:45:00+00:00,2025-02-10 21:00:00+00:00,2025-02-11 01:10:00+00:00,1,2.9415838592149544,TP,1
2025-02-11 17:15:00+00:00,2025-02-11 17:30:00+00:00,2025-02-11 20:25:00+00:00,1,-1.0116433180745705,SL,0
2025-02-13 12:00:00+00:00,2025-02-13 12:15:00+00:00,2025-02-13 13:00:00+00:00,1,-1.0178578719250588,SL,0
2025-02-13 15:00:00+00:00,2025-02-13 15:15:00+00:00,2025-02-14 15:15:00+00:00,1,-1.0448579022374833,SL,1
2025-02-18 12:45:00+00:00,2025-02-18 13:00:00+00:00,2025-02-18 19:35:00+00:00,1,2.987254023601927,TP,0
2025-02-18 19:30:00+00:00,2025-02-18 19:45:00+00:00,2025-02-19 00:50:00+00:00,1,-1.0747819624390806,SL,1
2025-02-20 17:30:00+00:00,2025-02-20 17:45:00+00:00,2025-02-20 19:35:00+00:00,1,-1.012409769874132,SL,0
2025-02-24 11:45:00+00:00,2025-02-24 12:00:00+00:00,2025-02-24 14:25:00+00:00,1,-1.0170384733932112,SL,0
2025-02-24 19:00:00+00:00,2025-02-24 19:15:00+00:00,2025-02-25 03:35:00+00:00,1,-1.0592604025722858,SL,1
2025-03-04 12:00:00+00:00,2025-03-04 12:15:00+00:00,2025-03-04 14:30:00+00:00,1,-1.0155233765650937,SL,0
2025-03-05 14:30:00+00:00,2025-03-05 14:45:00+00:00,2025-03-06 08:45:00+00:00,1,-1.0352244645057183,SL,1
2025-03-06 18:45:00+00:00,2025-03-06 19:00:00+00:00,2025-03-07 00:05:00+00:00,1,-1.045937063864182,SL,1
2025-03-07 12:00:00+00:00,2025-03-07 12:15:00+00:00,2025-03-07 13:15:00+00:00,1,-1.0208641756312113,SL,0
2025-03-07 13:30:00+00:00,2025-03-07 13:45:00+00:00,2025-03-07 13:55:00+00:00,1,-1.0141950961669985,SL,0
2025-03-07 14:30:00+00:00,2025-03-07 14:45:00+00:00,2025-03-07 15:45:00+00:00,1,-1.0113919850128756,SL,0
2025-03-11 18:30:00+00:00,2025-03-11 18:45:00+00:00,2025-03-12 01:05:00+00:00,1,-1.0582583612480343,SL,1
2025-03-12 14:45:00+00:00,2025-03-12 15:00:00+00:00,2025-03-13 03:50:00+00:00,1,2.953853320609179,TP,1
2025-03-13 12:30:00+00:00,2025-03-13 12:45:00+00:00,2025-03-13 13:00:00+00:00,1,-1.0177105580309556,SL,0
2025-03-13 13:15:00+00:00,2025-03-13 13:30:00+00:00,2025-03-13 14:45:00+00:00,1,2.99077641644257,TP,0
