signal,entry,exit,side,net_r,reason,carry_days
2026-01-05 14:30:00+00:00,2026-01-05 14:45:00+00:00,2026-01-06 14:50:00+00:00,1,2.9804478047597898,TP,1
2026-01-06 14:45:00+00:00,2026-01-06 15:00:00+00:00,2026-01-06 15:30:00+00:00,1,-1.007071788569762,SL,0
2026-01-06 16:15:00+00:00,2026-01-06 16:30:00+00:00,2026-01-07 01:35:00+00:00,1,-1.022254659570046,SL,1
2026-01-07 16:30:00+00:00,2026-01-07 16:45:00+00:00,2026-01-07 19:15:00+00:00,1,-1.0054445108416252,SL,0
2026-01-07 19:45:00+00:00,2026-01-07 20:00:00+00:00,2026-01-08 02:05:00+00:00,1,-1.025047105359312,SL,1
2026-01-09 11:45:00+00:00,2026-01-09 12:00:00+00:00,2026-01-09 12:30:00+00:00,1,-1.0120225832700072,SL,0
2026-01-09 13:30:00+00:00,2026-01-09 13:45:00+00:00,2026-01-11 23:25:00+00:00,1,2.959411348857474,TP,2
2026-01-12 13:00:00+00:00,2026-01-12 13:15:00+00:00,2026-01-12 14:15:00+00:00,1,-1.0075680022441145,SL,0
2026-01-12 15:00:00+00:00,2026-01-12 15:15:00+00:00,2026-01-12 20:40:00+00:00,1,-1.0052520618398633,SL,0
2026-01-13 13:00:00+00:00,2026-01-13 13:15:00+00:00,2026-01-13 17:55:00+00:00,1,-1.0082791704778182,SL,0
2026-01-14 12:00:00+00:00,2026-01-14 12:15:00+00:00,2026-01-14 14:35:00+00:00,1,-1.0088719791434133,SL,0
2026-01-14 18:30:00+00:00,2026-01-14 18:45:00+00:00,2026-01-14 23:05:00+00:00,1,-1.0063236354354481,SL,0
2026-01-20 13:30:00+00:00,2026-01-20 13:45:00+00:00,2026-01-20 23:40:00+00:00,1,2.9949167654559212,TP,0
2026-01-21 13:30:00+00:00,2026-01-21 13:45:00+00:00,2026-01-21 14:00:00+00:00,1,-1.0059864822278681,SL,0
2026-01-22 14:30:00+00:00,2026-01-22 14:45:00+00:00,2026-01-22 15:00:00+00:00,1,-1.006445247544073,SL,0
2026-01-22 15:00:00+00:00,2026-01-22 15:15:00+00:00,2026-01-22 17:40:00+00:00,1,2.9964684670484,TP,0
2026-01-22 17:30:00+00:00,2026-01-22 17:45:00+00:00,2026-01-23 16:05:00+00:00,1,2.9838183422837856,TP,1
2026-01-23 16:00:00+00:00,2026-01-23 16:15:00+00:00,2026-01-26 00:30:00+00:00,1,2.961000221432181,TP,3
2026-01-26 14:45:00+00:00,2026-01-26 15:00:00+00:00,2026-01-26 16:25:00+00:00,1,-1.0047729997557073,SL,0
2026-01-26 17:00:00+00:00,2026-01-26 17:15:00+00:00,2026-01-26 18:40:00+00:00,1,-1.0039794895585736,SL,0
2026-01-27 15:45:00+00:00,2026-01-27 16:00:00+00:00,2026-01-27 21:00:00+00:00,1,2.997692057694443,TP,0
2026-01-27 21:30:00+00:00,2026-01-27 21:45:00+00:00,2026-01-28 07:15:00+00:00,1,2.9882173524272355,TP,1
2026-01-28 16:45:00+00:00,2026-01-28 17:00:00+00:00,2026-01-28 21:50:00+00:00,1,2.998096903818299,TP,0
2026-02-09 14:30:00+00:00,2026-02-09 14:45:00+00:00,2026-02-09 23:10:00+00:00,1,-1.0038347847053646,SL,0
2026-02-10 13:30:00+00:00,2026-02-10 13:45:00+00:00,2026-02-10 14:45:00+00:00,1,-1.0043674386566053,SL,0
2026-02-11 17:30:00+00:00,2026-02-11 17:45:00+00:00,2026-02-11 23:10:00+00:00,1,-1.0031552292022572,SL,0
2026-02-12 13:30:00+00:00,2026-02-12 13:45:00+00:00,2026-02-12 14:15:00+00:00,1,-1.0061242808093225,SL,0
2026-02-12 15:30:00+00:00,2026-02-12 15:45:00+00:00,2026-02-12 16:10:00+00:00,1,-1.0050026662226015,SL,0
2026-02-18 20:30:00+00:00,2026-02-18 20:45:00+00:00,2026-02-18 23:00:00+00:00,1,-1.0062687758882587,SL,0
2026-02-19 14:45:00+00:00,2026-02-19 15:00:00+00:00,2026-02-19 18:05:00+00:00,1,-1.0045754158320412,SL,0
2026-02-20 13:45:00+00:00,2026-02-20 14:00:00+00:00,2026-02-20 15:00:00+00:00,1,-1.0058941022599415,SL,0
2026-02-20 16:00:00+00:00,2026-02-20 16:15:00+00:00,2026-02-22 23:40:00+00:00,1,2.980605246833848,TP,2
2026-02-23 13:30:00+00:00,2026-02-23 13:45:00+00:00,2026-02-23 16:15:00+00:00,1,2.9962779738125866,TP,0
2026-02-23 16:15:00+00:00,2026-02-23 16:30:00+00:00,2026-02-24 01:10:00+00:00,1,-1.0153632318186314,SL,1
2026-02-24 17:00:00+00:00,2026-02-24 17:15:00+00:00,2026-02-24 23:05:00+00:00,1,-1.004103481268201,SL,0
2026-02-25 14:45:00+00:00,2026-02-25 15:00:00+00:00,2026-02-25 20:45:00+00:00,1,-1.005872297290367,SL,0
2026-02-27 13:45:00+00:00,2026-02-27 14:00:00+00:00,2026-03-01 23:00:00+00:00,1,2.9694708968334056,TP,2
2026-03-02 13:15:00+00:00,2026-03-02 13:30:00+00:00,2026-03-02 14:05:00+00:00,1,-1.0039025859433566,SL,0
2026-03-10 12:30:00+00:00,2026-03-10 12:45:00+00:00,2026-03-10 18:15:00+00:00,1,-1.005603078284196,SL,0
2026-03-11 14:15:00+00:00,2026-03-11 14:30:00+00:00,2026-03-11 15:30:00+00:00,1,-1.0045100057493361,SL,0
2026-03-11 19:45:00+00:00,2026-03-11 20:00:00+00:00,2026-03-11 22:25:00+00:00,1,-1.0067017264868332,SL,0
2026-03-20 15:45:00+00:00,2026-03-20 16:00:00+00:00,2026-03-20 16:15:00+00:00,-1,-1.0024803673144986,SL,0
