signal,entry,exit,side,net_r,reason,carry_days
2026-06-19 14:30:00+00:00,2026-06-19 14:45:00+00:00,2026-06-21 23:05:00+00:00,-1,-1.0376398957985633,SL,2
2026-06-22 13:15:00+00:00,2026-06-22 13:30:00+00:00,2026-06-22 13:45:00+00:00,-1,-1.007768635507088,SL,0
2026-06-22 14:15:00+00:00,2026-06-22 14:30:00+00:00,2026-06-23 03:15:00+00:00,-1,2.9809830768996206,TP,1
2026-06-23 18:30:00+00:00,2026-06-23 18:45:00+00:00,2026-06-24 02:35:00+00:00,-1,2.978798092855857,TP,1
2026-06-24 12:00:00+00:00,2026-06-24 12:15:00+00:00,2026-06-24 13:00:00+00:00,-1,2.996580591205542,TP,0
2026-06-24 13:00:00+00:00,2026-06-24 13:15:00+00:00,2026-06-24 13:35:00+00:00,-1,-1.004131615796778,SL,0
2026-06-24 15:00:00+00:00,2026-06-24 15:15:00+00:00,2026-06-25 15:20:00+00:00,-1,-1.0120883376482261,SL,1
2026-06-29 18:45:00+00:00,2026-06-29 19:00:00+00:00,2026-06-30 01:05:00+00:00,-1,2.9764132536724017,TP,1
2026-06-30 17:00:00+00:00,2026-06-30 17:15:00+00:00,2026-07-01 06:05:00+00:00,-1,2.9800378919059174,TP,1
2026-07-08 13:15:00+00:00,2026-07-08 13:30:00+00:00,2026-07-08 18:45:00+00:00,-1,-1.004929598819831,SL,0
2026-07-13 13:30:00+00:00,2026-07-13 13:45:00+00:00,2026-07-13 14:20:00+00:00,-1,2.9958071891893123,TP,0
2026-07-13 14:15:00+00:00,2026-07-13 14:30:00+00:00,2026-07-14 12:30:00+00:00,-1,-1.0185579128146682,SL,1
2026-07-14 20:30:00+00:00,2026-07-14 20:45:00+00:00,2026-07-15 12:35:00+00:00,-1,-1.0258054919370807,SL,1
2026-07-16 12:15:00+00:00,2026-07-16 12:30:00+00:00,2026-07-16 13:00:00+00:00,-1,2.9955856889840575,TP,0
2026-07-16 15:00:00+00:00,2026-07-16 15:15:00+00:00,2026-07-16 15:25:00+00:00,-1,-1.0049922220073222,SL,0
2026-07-16 16:00:00+00:00,2026-07-16 16:15:00+00:00,2026-07-17 15:30:00+00:00,-1,-1.0165986204327924,SL,1
2026-07-23 19:00:00+00:00,2026-07-23 19:15:00+00:00,2026-07-24 08:50:00+00:00,-1,-1.0310483509725008,SL,1
2026-07-24 18:15:00+00:00,2026-07-24 18:30:00+00:00,2026-07-26 22:00:00+00:00,-1,-2.599762303082038,SL_GAP,2
2026-07-28 13:30:00+00:00,2026-07-28 13:45:00+00:00,2026-07-28 15:20:00+00:00,-1,-1.0080227004697764,SL,0
2026-07-29 12:00:00+00:00,2026-07-29 12:15:00+00:00,2026-07-29 14:10:00+00:00,-1,2.9928810060030537,TP,0
2026-07-29 14:00:00+00:00,2026-07-29 14:15:00+00:00,2026-07-29 16:05:00+00:00,-1,-1.0078377480934038,SL,0
2026-08-03 17:45:00+00:00,2026-08-03 18:00:00+00:00,2026-08-03 18:45:00+00:00,-1,-1.0099943805716707,SL,0
2026-08-10 14:30:00+00:00,2026-08-10 14:45:00+00:00,2026-08-11 00:00:00+00:00,1,2.979190889733795,TP,1
2026-08-11 13:15:00+00:00,2026-08-11 13:30:00+00:00,2026-08-11 14:00:00+00:00,1,-1.0070245350588256,SL,0
2026-08-11 14:30:00+00:00,2026-08-11 14:45:00+00:00,2026-08-11 15:35:00+00:00,1,-1.0062235616385702,SL,0
2026-08-12 12:15:00+00:00,2026-08-12 12:30:00+00:00,2026-08-12 12:30:00+00:00,1,-1.0079016660146183,SL,0
2026-08-12 12:45:00+00:00,2026-08-12 13:00:00+00:00,2026-08-12 13:30:00+00:00,1,-1.005047332309705,SL,0
2026-08-12 13:45:00+00:00,2026-08-12 14:00:00+00:00,2026-08-12 16:45:00+00:00,1,-1.004593183851854,SL,0
2026-08-13 12:45:00+00:00,2026-08-13 13:00:00+00:00,2026-08-13 13:25:00+00:00,1,-1.007604217929976,SL,0
2026-08-17 13:45:00+00:00,2026-08-17 14:00:00+00:00,2026-08-18 03:55:00+00:00,1,-1.0226007101071652,SL,1
2026-08-18 13:30:00+00:00,2026-08-18 13:45:00+00:00,2026-08-18 14:30:00+00:00,1,-1.0072160711079916,SL,0
2026-08-19 16:00:00+00:00,2026-08-19 16:15:00+00:00,2026-08-19 18:25:00+00:00,1,-1.0047242078008802,SL,0
2026-08-19 18:30:00+00:00,2026-08-19 18:45:00+00:00,2026-08-20 11:45:00+00:00,1,-1.0184770020501261,SL,1
2026-08-20 13:30:00+00:00,2026-08-20 13:45:00+00:00,2026-08-21 04:25:00+00:00,1,2.9814138693831285,TP,1
2026-08-21 13:00:00+00:00,2026-08-21 13:15:00+00:00,2026-08-24 02:10:00+00:00,1,2.9537890653529,TP,3
2026-08-24 12:15:00+00:00,2026-08-24 12:30:00+00:00,2026-08-24 15:55:00+00:00,1,-1.0056466086376346,SL,0
2026-08-25 15:15:00+00:00,2026-08-25 15:30:00+00:00,2026-08-26 09:25:00+00:00,1,-1.0186521414122496,SL,1
2026-09-03 11:45:00+00:00,2026-09-03 12:00:00+00:00,2026-09-03 12:55:00+00:00,1,2.9957043996924693,TP,0
2026-09-03 12:45:00+00:00,2026-09-03 13:00:00+00:00,2026-09-03 13:40:00+00:00,1,-1.0051891011931366,SL,0
2026-09-03 14:15:00+00:00,2026-09-03 14:30:00+00:00,2026-09-04 12:30:00+00:00,1,-1.0174281440001085,SL,1
